time,container_cpu_usage_seconds_total,tegra_cpu_util_percentage,tegra_cpu_util_percentage,tegra_cpu_util_percentage,tegra_cpu_util_percentage,tegra_cpu_util_percentage,tegra_cpu_util_percentage,tegra_wattage_current_milliwatts
1720776517.591,34.589496256,95,98,70,90,34,39,5169
1720776518.591,34.589496256,98,98,94,88,34,37,5088
1720776519.591,34.589496256,98,98,94,88,32,37,5088
1720776520.591,34.589496256,89,98,80,90,32,30,4925
1720776521.591,34.589496256,89,92,80,90,34,30,4925
1720776522.591,34.589496256,88,92,89,95,34,41,5210
1720776523.591,34.589496256,88,93,89,95,41,41,5210
1720776524.591,34.589496256,75,93,81,94,41,34,5047
1720776525.591,34.589496256,75,95,81,94,34,34,5047
1720776526.591,34.589496256,90,95,83,94,34,35,4762
1720776527.591,34.589496256,90,100,83,94,31,35,4762
1720776528.591,34.589496256,84,100,94,87,31,51,5413
1720776529.591,34.589496256,84,81,94,87,47,51,5413
1720776530.591,34.589496256,95,81,86,97,47,45,5088
1720776531.591,34.589496256,95,93,86,97,48,45,5088
1720776532.591,34.589496256,100,93,87,96,48,31,5088
1720776533.591,34.589496256,100,92,87,96,34,31,5088
1720776534.591,34.589496256,98,92,99,100,34,28,4925
1720776535.591,34.589496256,98,68,99,100,32,28,4925
1720776536.591,34.589496256,83,68,95,93,32,28,4925
1720776537.591,34.589496256,83,71,95,93,32,28,5047
1720776538.591,34.589496256,80,71,95,93,29,28,5047
1720776539.591,34.589496256,80,71,82,97,29,32,4884
1720776540.591,34.589496256,80,87,82,97,26,32,4884
1720776541.591,34.589496256,92,87,90,86,26,36,4925
1720776542.591,34.589496256,92,99,90,86,34,36,4925
1720776543.591,34.589496256,89,99,87,92,34,30,4884
1720776544.591,34.589496256,89,86,87,92,29,30,4884
1720776545.591,34.589496256,100,86,89,85,29,46,5006
1720776546.591,34.589496256,100,94,89,85,47,46,5006
1720776547.591,34.589496256,96,94,97,72,47,30,4721
1720776548.591,34.589496256,96,89,97,72,26,30,4721
1720776549.594,34.589496256,96,89,98,95,26,32,4640
1720776550.591,34.589496256,96,77,98,95,29,32,4640
1720776551.591,34.589496256,75,77,93,85,29,34,4843
1720776552.591,34.589496256,75,90,93,85,32,34,4843
1720776553.591,34.589496256,78,90,93,69,32,41,4965
1720776554.591,34.589496256,78,91,93,69,39,41,4965
1720776555.591,34.589496256,94,91,97,100,39,35,5088
1720776556.591,34.589496256,94,87,97,100,35,35,5088
1720776557.591,34.589496256,85,87,89,98,35,32,5128
1720776558.591,34.589496256,85,85,89,98,33,32,5128
1720776559.591,34.589496256,96,85,79,93,33,32,5128
1720776560.591,34.589496256,96,96,79,93,33,27,4843
1720776561.591,34.589496256,83,96,79,93,23,27,4843
1720776562.591,34.589496256,83,96,90,89,23,34,4843
1720776563.591,34.589496256,83,94,90,89,36,34,4843
1720776564.591,34.589496256,94,94,70,91,36,42,5169
1720776565.591,34.589496256,94,78,70,91,45,42,5169
1720776566.591,34.589496256,95,78,92,73,45,28,4884
1720776567.591,34.589496256,95,77,92,73,30,28,4884
1720776568.591,34.589496256,94,77,74,90,30,31,4803
1720776569.591,34.589496256,94,96,74,90,33,31,4803
1720776570.591,34.589496256,90,96,96,93,33,38,4965
1720776571.591,34.589496256,90,88,96,93,34,38,4965
1720776572.591,34.589496256,77,88,96,76,34,38,4965
1720776573.591,34.589496256,77,96,96,76,34,30,4925
1720776574.591,34.589496256,96,96,96,76,35,30,4925
1720776575.591,34.589496256,96,96,86,88,35,32,4843
1720776576.591,34.589496256,96,90,86,88,34,32,4843
1720776577.591,34.589496256,93,90,99,77,34,27,4721
1720776578.591,34.589496256,93,95,99,77,26,27,4721
1720776579.591,34.589496256,83,95,81,85,26,30,4762
1720776580.591,34.589496256,83,90,81,85,33,30,4762
1720776581.591,34.589496256,93,90,96,82,33,43,4843
1720776582.591,34.589496256,93,95,96,82,40,43,4843
1720776583.591,34.589496256,90,95,89,98,40,41,4721
1720776584.591,34.589496256,90,94,89,98,45,41,4721
1720776585.591,34.589496256,97,94,84,91,45,34,5006
1720776586.591,34.589496256,97,90,84,91,38,34,5006
1720776587.591,34.589496256,87,90,94,95,38,34,5006
1720776588.591,34.589496256,87,90,94,95,38,34,5169
1720776589.591,34.589496256,98,90,94,95,35,34,5169
1720776590.591,34.589496256,98,90,90,94,35,33,4925
1720776591.591,34.589496256,98,93,90,94,33,33,4925
1720776592.591,34.589496256,98,93,97,87,33,60,5291
1720776593.591,34.589496256,98,98,97,87,60,60,5291
1720776594.591,34.589496256,79,98,96,98,60,24,4925
1720776595.591,34.589496256,79,90,96,98,25,24,4925
1720776596.591,34.589496256,92,90,84,87,25,34,4884
1720776597.591,34.589496256,92,88,84,87,34,34,4884
1720776598.591,34.589496256,78,88,67,92,34,40,5413
1720776599.591,34.589496256,78,91,67,92,42,40,5413
1720776600.591,34.589496256,100,91,87,94,42,29,5047
1720776601.591,34.589496256,100,92,87,94,32,29,5047
1720776602.591,34.589496256,89,92,98,74,32,36,5128
1720776603.591,34.589496256,89,97,98,74,42,36,5128
1720776604.591,34.589496256,89,97,96,77,42,35,5169
1720776605.591,34.589496256,89,99,96,77,35,35,5169
1720776606.591,34.589496256,89,99,96,78,35,35,5169
1720776607.591,34.589496256,89,92,96,78,35,33,5128
1720776608.591,34.589496256,97,92,96,78,29,33,5128
1720776609.593,34.589496256,97,92,99,91,29,33,5169
1720776610.591,34.589496256,97,93,99,91,33,33,5169
1720776611.591,34.589496256,90,93,84,86,33,32,5006
1720776612.591,34.589496256,90,98,84,86,31,32,5006
1720776613.591,34.589496256,91,98,80,100,31,41,4762
1720776614.591,34.589496256,91,94,80,100,38,41,4762
1720776615.591,34.589496256,95,94,91,91,38,44,5047
1720776616.591,34.589496256,95,94,91,91,40,44,5047
1720776617.591,34.589496256,88,94,99,87,40,36,5047
1720776618.591,34.589496256,88,85,99,87,35,36,5047
1720776619.591,34.589496256,95,85,96,77,35,36,5210
1720776620.591,34.589496256,95,93,96,77,37,36,5210
1720776621.591,34.589496256,93,93,77,90,37,35,5210
1720776622.591,34.589496256,93,90,77,90,34,35,5210
1720776623.591,34.589496256,99,90,99,86,34,35,5210
1720776624.591,34.589496256,99,90,99,86,34,30,5128
1720776625.591,34.589496256,79,90,99,86,34,30,5128
1720776626.591,34.589496256,79,90,96,80,34,33,4925
1720776627.591,34.589496256,79,96,96,80,31,33,4925
1720776628.591,34.589496256,99,96,86,95,31,33,4884
1720776629.591,34.589496256,99,86,86,95,36,33,4884
1720776630.591,34.589496256,83,86,74,82,36,37,5210
1720776631.591,34.589496256,83,99,74,82,37,37,5210
1720776632.591,34.589496256,98,99,91,96,37,37,5210
1720776633.591,34.589496256,98,87,91,96,37,40,5291
1720776634.591,34.589496256,85,87,91,96,42,40,5291
1720776635.591,34.589496256,85,87,99,68,42,35,5169
1720776636.591,34.589496256,85,97,99,68,36,35,5169
1720776637.591,34.589496256,82,97,100,80,36,33,4884
1720776638.591,34.589496256,82,87,100,80,28,33,4884
1720776639.591,34.589496256,92,87,100,81,28,28,4803
1720776640.591,34.589496256,92,99,100,81,37,28,4803
1720776641.591,34.589496256,68,99,94,90,37,42,4884
1720776642.591,34.589496256,68,80,94,90,39,42,4884
1720776643.591,34.589496256,94,80,90,82,39,43,5047
1720776644.591,34.589496256,94,98,90,82,39,43,5047
1720776645.591,34.589496256,85,98,82,76,39,36,5169
1720776646.591,34.589496256,85,98,82,76,39,36,5169
